ward_id,district_id,province_id,name,type,legacy_alias
osm_ward_14623690,,29,Xuân Phú,xã,
osm_ward_14624273,,29,Xuân Bắc,xã,
osm_ward_14624336,,29,Xuân Thành,xã,
osm_ward_14632280,,29,Xuân Hòa,xã,
osm_ward_14651840,,04,Hòa Khánh,phường,
osm_ward_14651843,,04,Hải Vân,phường,
osm_ward_14663931,,32,Tân Thới,xã,
osm_ward_14663934,,32,Tân Phú Đông,xã,
osm_ward_14669917,,34,An Châu,xã,
osm_ward_14669919,,34,Bình Hòa,xã,
osm_ward_14669922,,34,Cần Đăng,xã,
osm_ward_14669923,,34,Vĩnh Hanh,xã,
osm_ward_14670085,,34,Phú Hòa,xã,
osm_ward_14670089,,34,Vĩnh Trạch,xã,
osm_ward_14671589,,34,Thoại Sơn,xã,
osm_ward_14671592,,34,Óc Eo,xã,
osm_ward_14671681,,34,Tây Phú,xã,
osm_ward_14671684,,34,Định Mỹ,xã,
osm_ward_14672096,,34,Tân Châu,phường,
osm_ward_14672100,,34,Long Phú,phường,
osm_ward_14672152,,34,Châu Phong,xã,
osm_ward_14672448,,34,Tân An,xã,
osm_ward_14672451,,34,Vĩnh Xương,xã,
osm_ward_14672536,,34,An Phú,xã,
osm_ward_14672539,,34,Vĩnh Hậu,xã,
osm_ward_14672541,,34,Phú Hữu,xã,
osm_ward_14672613,,34,Nhơn Hội,xã,
osm_ward_14672615,,34,Khánh Bình,xã,
osm_ward_14675891,,34,Phú Lâm,xã,
osm_ward_14675894,,34,Hòa Lạc,xã,
osm_ward_14675896,,34,Chợ Vàm,xã,
osm_ward_14676453,,34,Phú An,xã,
osm_ward_14676456,,34,Phú Tân,xã,
osm_ward_14676462,,34,Bình Thạnh Đông,xã,
osm_ward_14681507,,32,Đồng Sơn,xã,
osm_ward_14681509,,32,Phú Thành,xã,
osm_ward_14681647,,32,Vĩnh Bình,xã,
osm_ward_14681649,,32,Vĩnh Hựu,xã,
osm_ward_14681651,,32,Long Bình,xã,
osm_ward_14706121,,05,Châu Thành,xã,
osm_ward_14706124,,05,Phú Hữu,xã,
osm_ward_14706126,,05,Đông Phước,xã,
osm_ward_14706461,,05,Thạnh Xuân,xã,
osm_ward_14706492,,05,Tân Hòa,xã,
osm_ward_14706494,,05,Trường Long Tây,xã,
osm_ward_14706916,,05,Thạnh Hòa,xã,
osm_ward_14706918,,05,Tân Bình,xã,
osm_ward_14706959,,05,Hòa An,xã,
osm_ward_14706960,,05,Phương Bình,xã,
osm_ward_14716840,,34,Cô Tô,xã,
osm_ward_14716842,,34,Tri Tôn,xã,
osm_ward_14716847,,34,Ô Lâm,xã,
osm_ward_14718332,,34,Ba Chúc,xã,
osm_ward_14718334,,34,Vĩnh Gia,xã,
osm_ward_14719015,,34,Núi Cấm,xã,
osm_ward_14719019,,34,Chi Lăng,phường,
osm_ward_14719126,,34,An Cư,xã,
osm_ward_14719265,,34,Thới Sơn,phường,
osm_ward_14719269,,34,Tịnh Biên,phường,
osm_ward_14719498,,34,Nhơn Mỹ,xã,
osm_ward_14719501,,34,Chợ Mới,xã,
osm_ward_14719503,,34,Long Điền,xã,
osm_ward_14719554,,34,Long Kiến,xã,
osm_ward_14719557,,34,Cù Lao Giêng,xã,
osm_ward_14719587,,34,Hội An,xã,
osm_ward_14722088,,32,Sa Đéc,phường,
osm_ward_14724643,,32,Lấp Vò,xã,
osm_ward_14724647,,32,Mỹ An Hưng,xã,
osm_ward_14724719,,32,Tân Khánh Trung,xã,
osm_ward_14726383,,32,Tân Phú Trung,xã,
osm_ward_14726872,,32,Tân Nhuận Đông,xã,
osm_ward_14726876,,32,Phú Hựu,xã,
osm_ward_14727692,,30,Tân Tây,xã,
osm_ward_14727695,,30,Thạnh Hóa,xã,
osm_ward_14727698,,30,Thạnh Phước,xã,
osm_ward_14727700,,30,Bình Thành,xã,
osm_ward_14728096,,32,Tân Phước 3,xã,
osm_ward_14728101,,32,Hưng Thạnh,xã,
osm_ward_14728103,,32,Tân Phước 1,xã,
osm_ward_14728105,,32,Tân Phước 2,xã,
osm_ward_14728586,,32,Chợ Gạo,xã,
osm_ward_14736643,,32,Bình Ninh,xã,
osm_ward_14736644,,32,An Thạnh Thủy,xã,
osm_ward_14736648,,32,Tân Thuận Bình,xã,
osm_ward_14741360,,32,Lương Hòa Lạc,xã,
osm_ward_14743456,,32,Mỹ Tịnh An,xã,
osm_ward_14743997,,32,Tân Hương,xã,
osm_ward_14744000,,32,Châu Thành,xã,
osm_ward_14744133,,32,Kim Sơn,xã,
osm_ward_14744136,,32,Vĩnh Kim,xã,
osm_ward_14744137,,32,Long Hưng,xã,
osm_ward_14744208,,32,Long Định,xã,
osm_ward_14744210,,32,Bình Trưng,xã,
osm_ward_14908441,,05,Hỏa Lựu,xã,
osm_ward_14908444,,05,Vị Tân,phường,
osm_ward_14908445,,05,Vị Thanh,phường,
osm_ward_14913483,,05,Vĩnh Tường,xã,
osm_ward_14913489,,05,Vị Thanh 1,xã,
osm_ward_14913491,,05,Vị Thủy,xã,
osm_ward_14920071,,05,Xà Phiên,xã,
osm_ward_14920074,,05,Lương Tâm,xã,
osm_ward_14920076,,05,Vĩnh Thuận Đông,xã,
osm_ward_14920078,,05,Vĩnh Viễn,xã,
osm_ward_14929783,,30,Phước Chỉ,xã,
osm_ward_14929839,,30,Gia Lộc,phường,
osm_ward_14929840,,30,An Tịnh,phường,
osm_ward_14929860,,30,Hưng Thuận,xã,
osm_ward_14985747,,32,Mỹ Đức Tây,xã,
osm_ward_14985750,,32,Mỹ Lợi,xã,
osm_ward_14985753,,32,Thanh Hưng,xã,
osm_ward_14985755,,32,Cái Bè,xã,
osm_ward_14985757,,32,Hội Cư,xã,
osm_ward_14985763,,32,Mỹ Thiện,xã,
osm_ward_14985765,,32,Hậu Mỹ,xã,
osm_ward_14985767,,32,An Hữu,xã,
osm_ward_15011354,,30,Tân Thạnh,xã,
osm_ward_15011357,,30,Nhơn Ninh,xã,
osm_ward_15011362,,30,Nhơn Hòa Lập,xã,
osm_ward_15011364,,30,Hậu Thạnh,xã,
osm_ward_15012310,,30,Tuyên Bình,xã,
osm_ward_15012314,,30,Vĩnh Hưng,xã,
osm_ward_15012318,,30,Khánh Hưng,xã,
osm_ward_15012537,,30,Vĩnh Châu,xã,
osm_ward_15012539,,30,Vĩnh Thạnh,xã,
osm_ward_15012540,,30,Tân Hưng,xã,
osm_ward_15012545,,30,Hưng Điền,xã,
osm_ward_15012708,,32,Hiệp Đức,xã,
osm_ward_15012710,,32,Bình Phú,xã,
osm_ward_15012712,,32,Mỹ Thành,xã,
osm_ward_15012713,,32,Thạnh Phú,xã,
osm_ward_15012716,,32,Long Tiên,xã,
osm_ward_15012719,,32,Ngũ Hiệp,xã,
osm_ward_15044265,,02,Trừ Văn Thố,xã,
osm_ward_15044266,,02,Bàu Bàng,xã,
osm_ward_15044270,,02,Long Nguyên,phường,
osm_ward_15071230,,02,Bắc Tân Uyên,xã,
osm_ward_15071235,,02,Thường Tân,xã,
osm_ward_15080218,,34,Kiên Hải,đặc khu,
osm_ward_15083127,,34,Vĩnh Điều,xã,
osm_ward_15083128,,34,Giang Thành,xã,
osm_ward_15328433,,02,Minh Thạnh,xã,
osm_ward_15328437,,02,Long Hòa,xã,
osm_ward_15328440,,02,Dầu Tiếng,xã,
osm_ward_15328441,,02,Thanh An,xã,
osm_ward_15332655,,34,Tô Châu,phường,
osm_ward_15332659,,34,Tiên Hải,xã,
osm_ward_15350008,,02,Phước Hòa,xã,
osm_ward_15350010,,02,An Long,xã,
osm_ward_15350042,,02,Phước Thành,xã,
osm_ward_15350067,,02,Phú Giáo,xã,
osm_ward_15409349,,34,Kiên Lương,xã,
osm_ward_15409351,,34,Hòn Nghệ,xã,
osm_ward_15409352,,34,Sơn Hải,xã,
osm_ward_15409356,,34,Hòa Điền,xã,
osm_ward_15416579,,34,Bình Sơn,xã,
osm_ward_15416580,,34,Bình Giang,xã,
osm_ward_15416584,,34,Hòn Đất,xã,
osm_ward_15416586,,34,Sơn Kiên,xã,
osm_ward_15416588,,34,Mỹ Thuận,xã,
osm_ward_15429954,,34,Vĩnh Thông,phường,
osm_ward_15429961,,34,Rạch Giá,phường,
osm_ward_15443436,,34,Châu Thành,xã,
osm_ward_15443437,,34,Bình An,xã,
osm_ward_15443445,,34,Thạnh Lộc,xã,
osm_ward_15444877,,30,Tân Ninh,phường,
osm_ward_15445052,,30,Ninh Thạnh,phường,
osm_ward_15445053,,30,Bình Minh,phường,
osm_ward_15448140,,30,Long Hoa,phường,
osm_ward_15448143,,30,Hòa Thành,phường,
osm_ward_15449914,,34,Tân Hiệp,xã,
osm_ward_15449915,,34,Thạnh Đông,xã,
osm_ward_15449921,,34,Tân Hội,xã,
osm_ward_15456045,,29,Bình Phước,phường,
osm_ward_15457893,,29,Đồng Xoài,phường,
osm_ward_15461456,,29,Bình Long,phường,
osm_ward_15461459,,29,An Lộc,phường,
osm_ward_15464567,,29,Phước Long,phường,
osm_ward_15464568,,29,Phước Bình,phường,
osm_ward_15467271,,34,Giồng Riềng,xã,
osm_ward_15467329,,34,Long Thạnh,xã,
osm_ward_15467332,,34,Thạnh Hưng,xã,
osm_ward_15467334,,34,Ngọc Chúc,xã,
osm_ward_15467335,,34,Hòa Thuận,xã,
osm_ward_15467338,,34,Hòa Hưng,xã,
osm_ward_15476021,,34,Gò Quao,xã,
osm_ward_15476022,,34,Định Hòa,xã,
osm_ward_15476028,,34,Vĩnh Hòa Hưng,xã,
osm_ward_15476029,,34,Vĩnh Tuy,xã,
osm_ward_15477728,,29,Chơn Thành,phường,
osm_ward_15477729,,29,Minh Hưng,phường,
osm_ward_15479855,,34,U Minh Thượng,xã,
osm_ward_15479858,,34,Vĩnh Hòa,xã,
osm_ward_15480266,,29,Nha Bích,xã,
osm_ward_15487119,,32,Cao Lãnh,phường,
osm_ward_15487124,,32,Mỹ Ngãi,phường,
osm_ward_15488798,,32,Mỹ Trà,phường,
osm_ward_15504989,,31,An Hội,phường,
osm_ward_15504993,,31,Bến Tre,phường,
osm_ward_15504995,,31,Phú Khương,phường,
osm_ward_15504996,,31,Phú Tân,phường,
osm_ward_15506733,,31,Sơn Đông,phường,
osm_ward_15517137,,34,Tây Yên,xã,
osm_ward_15517141,,34,Đông Thái,xã,
osm_ward_15517145,,34,An Biên,xã,
osm_ward_15534355,,34,Vĩnh Bình,xã,
osm_ward_15534357,,34,Vĩnh Phong,xã,
osm_ward_15534361,,34,Vĩnh Thuận,xã,
osm_ward_15554634,,34,Vân Khánh,xã,
osm_ward_15554636,,34,Đông Hưng,xã,
osm_ward_15554638,,34,An Minh,xã,
osm_ward_15554640,,34,Tân Thạnh,xã,
osm_ward_15554642,,34,Đông Hòa,xã,
osm_ward_15581284,,32,Tân Hồng,xã,
osm_ward_15581286,,32,An Phước,xã,
osm_ward_15581288,,32,Tân Thành,xã,
osm_ward_15581290,,32,Tân Hộ Cơ,xã,
osm_ward_15581561,,32,An Hòa,xã,
osm_ward_15581562,,32,An Long,xã,
osm_ward_15581829,,32,Phú Thọ,xã,
osm_ward_15581830,,32,Tràm Chim,xã,
osm_ward_15581832,,32,Tam Nông,xã,
osm_ward_15581834,,32,Phú Cường,xã,
osm_ward_15582342,,31,Trà Vinh,phường,
osm_ward_15582471,,31,Long Đức,phường,
osm_ward_15583701,,32,Thanh Bình,xã,
osm_ward_15583780,,32,Bình Thành,xã,
osm_ward_15583784,,32,Tân Thạnh,xã,
osm_ward_15583788,,32,Tân Long,xã,
osm_ward_15585703,,05,Ngã Năm,phường,
osm_ward_15585895,,05,Mỹ Quới,phường,
osm_ward_15585896,,05,Tân Long,xã,
osm_ward_15586691,,32,Phong Mỹ,xã,
osm_ward_15586694,,32,Phương Thịnh,xã,
osm_ward_15586695,,32,Ba Sao,xã,
osm_ward_15586817,,32,Mỹ Thọ,xã,
osm_ward_15586822,,32,Bình Hàng Trung,xã,
osm_ward_15586825,,32,Mỹ Hiệp,xã,
osm_ward_15587390,,32,Trường Xuân,xã,
osm_ward_15587393,,32,Mỹ Quí,xã,
osm_ward_15587396,,32,Tháp Mười,xã,
osm_ward_15587398,,32,Đốc Binh Kiều,xã,
osm_ward_15587400,,32,Thanh Mỹ,xã,
osm_ward_15587606,,05,Vĩnh Châu,phường,
osm_ward_15587608,,05,Khánh Hòa,phường,
osm_ward_15587609,,05,Vĩnh Phước,phường,
osm_ward_15587613,,31,Ngũ Lạc,xã,
osm_ward_15587614,,31,Đôn Châu,xã,
osm_ward_15587616,,31,Long Vĩnh,xã,
osm_ward_15587617,,31,Đông Hải,xã,
osm_ward_15587701,,05,Lai Hòa,xã,
osm_ward_15587702,,05,Vĩnh Hải,xã,
osm_ward_15607385,,31,An Bình,xã,
osm_ward_15607389,,31,Thanh Đức,phường,
osm_ward_15607449,,31,Long Hồ,xã,
osm_ward_15607453,,31,Phước Hậu,phường,
osm_ward_15607454,,31,Tân Hạnh,phường,
osm_ward_15607457,,31,Phú Quới,xã,
osm_ward_15607493,,31,Lục Sĩ Thành,xã,
osm_ward_15607649,,31,Ngãi Tứ,xã,
osm_ward_15607653,,31,Tam Bình,xã,
osm_ward_15607659,,31,Song Phú,xã,
osm_ward_15607660,,31,Cái Ngang,xã,
osm_ward_15607664,,31,Hòa Hiệp,xã,
osm_ward_15608373,,31,Nhơn Phú,xã,
osm_ward_15608374,,31,Bình Phước,xã,
osm_ward_15608376,,31,Tân Long Hội,xã,
osm_ward_15610929,,31,Vĩnh Xuân,xã,
osm_ward_15610932,,31,Trà Côn,xã,
osm_ward_15610934,,31,Hòa Bình,xã,
osm_ward_15611093,,33,Thới Bình,xã,
osm_ward_15611095,,33,Tân Lộc,xã,
osm_ward_15611096,,33,Hồ Thị Kỷ,xã,
osm_ward_15611098,,33,Trí Phải,xã,
osm_ward_15611102,,33,Biển Bạch,xã,
osm_ward_15614389,,31,Quới Thiện,xã,
osm_ward_15614393,,31,Trung Thành,xã,
osm_ward_15614394,,31,Trung Ngãi,xã,
osm_ward_15614398,,31,Trung Hiệp,xã,
osm_ward_15614400,,31,Quới An,xã,
osm_ward_15614403,,31,Hiếu Phụng,xã,
osm_ward_15614406,,31,Hiếu Thành,xã,
osm_ward_15617606,,31,Hưng Khánh Trung,xã,
osm_ward_15617732,,31,Phú Phụng,xã,
osm_ward_15617735,,31,Chợ Lách,xã,
osm_ward_15617740,,31,Vĩnh Thành,xã,
osm_ward_15618456,,31,Phú Túc,xã,
osm_ward_15618463,,31,Giao Long,xã,
osm_ward_15620126,,31,Tiên Thủy,xã,
osm_ward_15620128,,31,Tân Phú,xã,
osm_ward_15624322,,31,Nhuận Phú Tân,xã,
osm_ward_15624327,,31,Phước Mỹ Trung,xã,
osm_ward_15624330,,31,Tân Thành Bình,xã,
osm_ward_15628054,,33,Nguyễn Phích,xã,
osm_ward_15628055,,33,Khánh An,xã,
osm_ward_15628056,,33,Khánh Lâm,xã,
osm_ward_15628060,,33,U Minh,xã,
osm_ward_15640145,,33,Trần Văn Thời,xã,
osm_ward_15640147,,33,Khánh Hưng,xã,
osm_ward_15640149,,33,Đá Bạc,xã,
osm_ward_15640151,,33,Khánh Bình,xã,
osm_ward_15640152,,33,Sông Đốc,xã,
osm_ward_15649376,,33,Đất Mũi,xã,
osm_ward_15649485,,33,Phan Ngọc Hiển,xã,
osm_ward_15649488,,33,Tân Ân,xã,
osm_ward_15649576,,33,Đất Mới,xã,
osm_ward_15649578,,33,Năm Căn,xã,
osm_ward_15649581,,33,Tam Giang,xã,
osm_ward_15650993,,33,Nguyễn Việt Khái,xã,
osm_ward_15650997,,33,Phú Tân,xã,
osm_ward_15650998,,33,Phú Mỹ,xã,
osm_ward_15651000,,33,Cái Đôi Vàm,xã,
osm_ward_15657853,,05,Tài Văn,xã,
osm_ward_15657854,,05,Thạnh Thới An,xã,
osm_ward_15658217,,05,Cù Lao Dung,xã,
osm_ward_15658220,,05,An Thạnh,xã,
osm_ward_15659014,,05,Đại Ngãi,xã,
osm_ward_15659016,,05,Trường Khánh,xã,
osm_ward_15659020,,05,Long Phú,xã,
osm_ward_15659023,,05,Tân Thạnh,xã,
osm_ward_15661136,,05,Đại Hải,xã,
osm_ward_15661139,,05,Kế Sách,xã,
osm_ward_15661141,,05,Nhơn Mỹ,xã,
osm_ward_15661143,,05,Thới An Hội,xã,
osm_ward_15661147,,05,An Lạc Thôn,xã,
osm_ward_15661148,,05,Phong Nẫm,xã,
osm_ward_15661433,,05,Hồ Đắc Kiện,xã,
osm_ward_15661434,,05,Thuận Hòa,xã,
osm_ward_15661436,,05,Phú Tâm,xã,
osm_ward_15661439,,05,An Ninh,xã,
osm_ward_15664500,,05,Long Hưng,xã,
osm_ward_15664502,,05,Mỹ Phước,xã,
osm_ward_15664503,,05,Mỹ Tú,xã,
osm_ward_15664505,,05,Mỹ Hương,xã,
osm_ward_15665321,,05,Vĩnh Lợi,xã,
osm_ward_15665325,,05,Phú Lộc,xã,
osm_ward_15665327,,05,Lâm Tân,xã,
osm_ward_15665886,,05,Mỹ Xuyên,phường,
osm_ward_15665889,,05,Nhu Gia,xã,
osm_ward_15665891,,05,Gia Hòa,xã,
osm_ward_15665894,,05,Hòa Tú,xã,
osm_ward_15665896,,05,Ngọc Tố,xã,
osm_ward_15680715,,33,Lương Thế Trân,xã,
osm_ward_15680718,,33,Hưng Mỹ,xã,
osm_ward_15680721,,33,Cái Nước,xã,
osm_ward_15680725,,33,Tân Hưng,xã,
